id	format	path	source_type	source_id	license_status	license_review_status	privacy	size_class	features	expected_signals	quality_tier	original_url	local_cache_path	notes
pdf_annotation_highlight_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-highlight-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;highlight;without_appearance	no_empty_output;contains_all:Highlight (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Highlight (page 1): Tim van der Meij — Highlight content;order:Highlight (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Highlight (page 1): Tim van der Meij — Highlight content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-highlight-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotation on page 1.
pdf_annotation_line_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-line-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;line;without_appearance	no_empty_output;contains_all:Line (without appearance stream)|## Annotations|Line (page 1): Tim van der Meij — Line content;order:Line (without appearance stream)|## Annotations|Line (page 1): Tim van der Meij — Line content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-line-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotation on page 1.
pdf_annotation_square_circle_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-square-circle-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;square;circle;without_appearance	no_empty_output;contains_all:Square (without appearance stream)|Circle (without appearance stream)|## Annotations|Square (page 1): Tim van der Meij — Square content|Circle (page 1): Tim van der Meij — Circle content;order:Square (without appearance stream)|Circle (without appearance stream)|## Annotations|Square (page 1): Tim van der Meij — Square content|Circle (page 1): Tim van der Meij — Circle content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-square-circle-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotations on page 1.
pdf_annotation_square_circle_without_appearance_pdfjs_counts	pdf	external_quality/pdf/pdfjs/annotation-square-circle-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;square;circle;without_appearance;count_assertion	no_empty_output;exact_count:Square \(without appearance stream\)=1;exact_count:Circle \(without appearance stream\)=1;exact_count:## Annotations=1;exact_count:Square \(page 1\): Tim van der Meij — Square content=1;exact_count:Circle \(page 1\): Tim van der Meij — Circle content=1;order:Square \(without appearance stream\)|Circle \(without appearance stream\)|## Annotations|Square \(page 1\): Tim van der Meij — Square content|Circle \(page 1\): Tim van der Meij — Circle content	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-square-circle-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits one visible title each plus a page-1 appendix.
pdf_annotation_squiggly_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-squiggly-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;squiggly;without_appearance	no_empty_output;contains_all:Squiggly (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Squiggly (page 1): Tim van der Meij — Squiggly content;order:Squiggly (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Squiggly (page 1): Tim van der Meij — Squiggly content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-squiggly-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotation on page 1.
pdf_annotation_strikeout_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-strikeout-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;strikeout;without_appearance	no_empty_output;contains_all:StrikeOut (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|StrikeOut (page 1): Tim van der Meij — StrikeOut content;order:StrikeOut (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|StrikeOut (page 1): Tim van der Meij — StrikeOut content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-strikeout-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotation on page 1.
pdf_annotation_underline_without_appearance_pdfjs	pdf	external_quality/pdf/pdfjs/annotation-underline-without-appearance.pdf	tool_fixture	pdfjs_tests	Apache-2.0	approved	external_cache	small	pdf;annotation;underline;without_appearance	no_empty_output;contains_all:Underline (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Underline (page 1): Tim van der Meij — Underline content;order:Underline (without appearance stream)|Lorem ipsum dolor sit amet|## Annotations|Underline (page 1): Tim van der Meij — Underline content;not_contains:þÿ	reference	https://github.com/mozilla/pdf.js/blob/master/test/pdfs/annotation-underline-without-appearance.pdf	external_quality/pdf/pdfjs	Repo-local override: current native PDF path emits a single page and surfaces the appendix annotation on page 1.
